mondo id,chembl id,has hit
MONDO:0009849,CHEMBL1201834,True
MONDO:0015691,CHEMBL1642,True
MONDO:0009823,,False
MONDO:0009823,,False
MONDO:0009397,CHEMBL1201284,False
MONDO:0015900,CHEMBL4297885,False
MONDO:0020325,CHEMBL601719,True
MONDO:0020325,CHEMBL1742994,True
MONDO:0009504,CHEMBL306823,False
MONDO:0018905,CHEMBL3137309,True
MONDO:0018905,CHEMBL1873475,True
MONDO:0018905,CHEMBL1201746,False
MONDO:0018905,CHEMBL1908360,True
MONDO:0018905,CHEMBL1743048,True
MONDO:0018905,CHEMBL300138,True
MONDO:0018905,CHEMBL272980,False
MONDO:0018905,CHEMBL3545185,True
MONDO:0018905,CHEMBL3989913,False
MONDO:0018905,CHEMBL4594253,True
MONDO:0018905,CHEMBL4073443,False
MONDO:0018905,CHEMBL109,Request error
MONDO:0018905,CHEMBL3707274,False
MONDO:0009563,CHEMBL1746,False
MONDO:0008646,CHEMBL3707392,False
MONDO:0006277,CHEMBL413,True
MONDO:0005761,CHEMBL1454946,False
MONDO:0016366,CHEMBL1201774,True
MONDO:0018961,CHEMBL2146883,False
MONDO:0018961,CHEMBL1957038,False
MONDO:0018961,CHEMBL573677,False
MONDO:0018961,CHEMBL2107787,False
MONDO:0018961,CHEMBL217354,False
MONDO:0018961,,False
MONDO:0018961,CHEMBL4298122,False
MONDO:0018961,,False
MONDO:0018961,CHEMBL2107855,False
MONDO:0009588,CHEMBL1201621,False
MONDO:0012791,CHEMBL52609,False
MONDO:0009659,,False
MONDO:0009691,CHEMBL1742994,True
MONDO:0009691,CHEMBL80,True
MONDO:0007827,,False
MONDO:0100224,,False
MONDO:0100224,CHEMBL4594430,False
MONDO:0019010,CHEMBL4297949,True
MONDO:0019010,,False
MONDO:0019010,CHEMBL4297741,True
MONDO:0017198,CHEMBL1201564,True
MONDO:0008176,,False
MONDO:0009009,CHEMBL2108131,False
MONDO:0019121,CHEMBL2107359,True
MONDO:0009902,CHEMBL1413,False
MONDO:0006918,CHEMBL413,True
MONDO:0006918,CHEMBL1201390,True
MONDO:0016575,CHEMBL336296,True
MONDO:0023122,CHEMBL58,False
MONDO:0008319,CHEMBL863,False
MONDO:0009468,,False
MONDO:0008337,CHEMBL105,False
MONDO:0019740,CHEMBL4297694,False
MONDO:0019740,CHEMBL2108339,False
MONDO:0019740,CHEMBL3707226,False
MONDO:0019369,CHEMBL55214,True
MONDO:0019369,,False
MONDO:0019369,CHEMBL1237055,True
,CHEMBL190461,False
,,False
MONDO:0002546,CHEMBL191482,True
,CHEMBL2103849,False
MONDO:0018078,CHEMBL1743049,False
MONDO:0018078,CHEMBL1683544,False
MONDO:0018078,CHEMBL2105728,False
MONDO:0018078,CHEMBL4303201,True
MONDO:0018078,CHEMBL889,True
MONDO:0018078,CHEMBL2103839,True
MONDO:0018078,CHEMBL254219,False
MONDO:0018078,CHEMBL417,True
MONDO:0018078,CHEMBL3414621,False
MONDO:0018078,CHEMBL788,False
MONDO:0018078,CHEMBL477772,True
MONDO:0018078,CHEMBL3545185,True
MONDO:0018078,CHEMBL260046,True
MONDO:0018078,CHEMBL1024,True
MONDO:0018078,CHEMBL4650626,False
MONDO:0018078,CHEMBL572284,False
MONDO:0018078,CHEMBL2037002,False
MONDO:0018078,,False
MONDO:0018078,,False
MONDO:0018078,CHEMBL450449,True
,CHEMBL291747,False
MONDO:0008259,CHEMBL2105615,False
MONDO:0008919,CHEMBL1149,True
MONDO:0008558,CHEMBL1200682,False
MONDO:0008558,CHEMBL1201832,Request error
MONDO:0008558,CHEMBL2105758,Request error
MONDO:0008558,CHEMBL461101,True
MONDO:0008558,,False
MONDO:0008558,CHEMBL1743088,True
MONDO:0008558,CHEMBL4297820,True
MONDO:0008558,CHEMBL2108747,False
MONDO:0018079,CHEMBL4297668,False
MONDO:0008566,CHEMBL24828,False
MONDO:0008566,CHEMBL2105717,False
MONDO:0008566,CHEMBL1289601,False
MONDO:0008566,,False
MONDO:0011514,CHEMBL2103873,False
MONDO:0009797,CHEMBL2107381,True
,CHEMBL2110368,False
MONDO:0019960,CHEMBL1680,True
MONDO:0018087,CHEMBL4298082,False
MONDO:0008300,CHEMBL1446813,False
MONDO:0008300,CHEMBL3301668,True
MONDO:0008300,CHEMBL4297276,True
MONDO:0008300,CHEMBL181,True
MONDO:0008300,CHEMBL1236183,False
MONDO:0008300,CHEMBL1230988,False
MONDO:0008300,CHEMBL3301624,True
MONDO:0008300,,False
MONDO:0008300,CHEMBL4297504,True
MONDO:0010354,CHEMBL2348292,Request error
MONDO:0008948,CHEMBL240597,True
MONDO:0019200,,False
MONDO:0019200,CHEMBL81379,False
MONDO:0019200,CHEMBL4297637,True
MONDO:0019200,,False
MONDO:0019200,,False
MONDO:0019200,,False
MONDO:0019200,,False
MONDO:0019200,,False
MONDO:0006952,CHEMBL1222251,True
MONDO:0006952,CHEMBL1675,False
MONDO:0006952,CHEMBL1201717,True
MONDO:0010726,CHEMBL1697733,True
MONDO:0010726,CHEMBL4594269,False
MONDO:0010726,CHEMBL220808,True
MONDO:0010726,CHEMBL2206194,False
MONDO:0010726,CHEMBL2387742,True
MONDO:0010726,CHEMBL1289110,False
MONDO:0006502,CHEMBL1200689,True
MONDO:0006502,CHEMBL495,True
MONDO:0006502,CHEMBL1981592,False
MONDO:0006502,CHEMBL444814,False
MONDO:0009290,CHEMBL49080,True
MONDO:0009290,CHEMBL1201824,True
MONDO:0009290,CHEMBL460785,True
MONDO:0009290,,False
MONDO:0019933,CHEMBL1201515,True
MONDO:0019933,CHEMBL3349607,True
MONDO:0019933,,False
MONDO:0019933,CHEMBL1680,True
MONDO:0019933,,False
MONDO:0019933,,False
MONDO:0021811,CHEMBL4298118,False
MONDO:0005061,,False
MONDO:0004971,CHEMBL522892,True
MONDO:0007064,,False
MONDO:0007064,CHEMBL1201514,True
MONDO:0018544,CHEMBL816,False
MONDO:0013282,CHEMBL4297879,True
MONDO:0013282,,False
MONDO:0010520,CHEMBL1762621,False
MONDO:0004976,CHEMBL1201567,True
MONDO:0004976,CHEMBL744,True
MONDO:0004976,CHEMBL1794791,True
MONDO:0004976,,False
MONDO:0004976,CHEMBL248594,True
MONDO:0004976,CHEMBL1472,True
MONDO:0004976,CHEMBL3039529,True
MONDO:0004976,CHEMBL19449,True
MONDO:0004976,CHEMBL2051955,True
MONDO:0004976,,False
MONDO:0004976,CHEMBL61872,True
MONDO:0004976,CHEMBL438497,False
MONDO:0004976,CHEMBL4594259,False
MONDO:0004976,CHEMBL1887585,False
MONDO:0004976,CHEMBL416288,False
MONDO:0004976,CHEMBL249420,True
MONDO:0004976,,False
MONDO:0004976,CHEMBL1200574,True
MONDO:0004976,CHEMBL364713,False
MONDO:0004976,,False
MONDO:0004976,,False
MONDO:0004976,CHEMBL4297561,True
MONDO:0004976,CHEMBL2108747,False
MONDO:0004976,,False
MONDO:0004976,,False
MONDO:0004976,,False
MONDO:0004976,CHEMBL1171146,False
MONDO:0004976,CHEMBL4298063,False
MONDO:0004976,CHEMBL2108545,False
MONDO:0019438,CHEMBL1743007,False
MONDO:0019438,,False
MONDO:0007113,CHEMBL312443,True
MONDO:0002387,CHEMBL4650321,False
MONDO:0002387,CHEMBL109480,False
MONDO:0019172,CHEMBL256997,True
MONDO:0004845,CHEMBL468,True
MONDO:0012197,CHEMBL461101,True
MONDO:0012197,CHEMBL1230988,False
MONDO:0012197,,False
MONDO:0008815,,False
MONDO:0005657,CHEMBL3137333,True
MONDO:0005657,CHEMBL267345,True
MONDO:0008840,CHEMBL632,True
MONDO:0020108,CHEMBL1200796,True
MONDO:0020108,CHEMBL2103830,True
MONDO:0016264,CHEMBL19019,False
MONDO:0016264,CHEMBL190461,True
MONDO:0004095,CHEMBL1873475,True
MONDO:0004095,CHEMBL343448,False
MONDO:0004095,CHEMBL1201576,True
MONDO:0004095,CHEMBL1201606,True
MONDO:0004095,CHEMBL1201225,False
MONDO:0004095,CHEMBL1201604,False
MONDO:0004095,CHEMBL2108469,False
MONDO:0004095,,False
MONDO:0008767,,False
MONDO:0019952,CHEMBL541,False
MONDO:0010311,CHEMBL1213492,False
MONDO:0010311,,False
MONDO:0003060,CHEMBL3545307,False
MONDO:0003060,,False
MONDO:0019091,CHEMBL1675,False
MONDO:0019091,,False
MONDO:0005683,CHEMBL1201834,False
MONDO:0005683,CHEMBL107,False
MONDO:0019082,CHEMBL2109103,True
MONDO:0019082,CHEMBL4297832,False
MONDO:0019623,CHEMBL1201837,True
MONDO:0019623,CHEMBL2028850,True
MONDO:0019623,CHEMBL4297549,True
MONDO:0019623,,False
MONDO:0019623,,False
MONDO:0017215,,False
MONDO:0017215,CHEMBL2096650,True
MONDO:0015626,CHEMBL354077,False
MONDO:0015626,CHEMBL19019,False
MONDO:0010621,CHEMBL547,Request error
MONDO:0010621,CHEMBL424,False
MONDO:0010621,CHEMBL3707313,False
